id,name,category,brand,tags
item_285,Nissin Geki Hot & Spicy Korean Kimchi Flavoured Instant Noodles (80 g),Fresh Produce 🍅,Fresh Produce,nissin geki hot & spicy korean kimchi flavoured instant noodles vegetables fresh
item_286,Wai Wai Ready To Eat Chicken Cup Noodles (70 g),Fresh Produce 🍅,Fresh Produce,wai wai ready to eat chicken cup noodles vegetables fresh
item_287,Tops Plain Noodles + Tops Premium Synthetic (White) Vinegar + Tops Dark Soy Sauce Combo (300 g + 610 ml + 220 g),Fresh Produce 🍅,Fresh Produce,tops plain noodles + tops premium synthetic (white) vinegar + tops dark soy sauce combo vegetables fresh
item_288,Sunfeast Yippee Mood Masala Instant Noodles (260 g),Fresh Produce 🍅,Fresh Produce,sunfeast yippee mood masala instant noodles vegetables fresh
item_289,Yu 100% Whole Wheat Noodles - Pack of 2,Fresh Produce 🍅,Fresh Produce,yu 100% whole wheat noodles - pack of 2 vegetables fresh
item_290,Maggi Nutri-licious Masala Veg Atta Noodles with Spinach (290 g),Fresh Produce 🍅,Fresh Produce,maggi nutri-licious masala veg atta noodles with spinach vegetables fresh
item_291,Top Ramen Masala Noodles,Fresh Produce 🍅,Fresh Produce,top ramen masala noodles vegetables fresh
item_292,Timios Millet Tomato Flavoured Instant Noodles,Fresh Produce 🍅,Fresh Produce,timios millet tomato flavoured instant noodles vegetables fresh
item_293,Maggi Instant Chicken Noodles (284 g),Fresh Produce 🍅,Fresh Produce,maggi instant chicken noodles vegetables fresh
item_294,Saffron Chin Chin Hakka Noodles (600 g),Fresh Produce 🍅,Fresh Produce,saffron chin chin hakka noodles vegetables fresh
item_295,Maggi Special Masala Spicy Instant Noodles - Pack of 12,Fresh Produce 🍅,Fresh Produce,maggi special masala spicy instant noodles - pack of 12 vegetables fresh
item_296,Maggi Spicy Manchurian Instant Noodles (244 g),Fresh Produce 🍅,Fresh Produce,maggi spicy manchurian instant noodles vegetables fresh
item_297,"Saffola Oodles Instant Noodles, No Maida",Fresh Produce 🍅,Fresh Produce,"saffola oodles instant noodles, no maida vegetables fresh"
item_298,Wai Wai Chinese Hakka Veg Noodles (160 g),Fresh Produce 🍅,Fresh Produce,wai wai chinese hakka veg noodles vegetables fresh
item_299,MasterChow Healthy Whole Wheat Noodles,Fresh Produce 🍅,Fresh Produce,masterchow healthy whole wheat noodles vegetables fresh
item_300,Ching's Secret Hot Garlic Flavoured Instant Noodles - Pack of 2,Fresh Produce 🍅,Fresh Produce,ching's secret hot garlic flavoured instant noodles - pack of 2 vegetables fresh
